Performance da campanha
1 de janeiro de 2026 - 8 de setembro de 2026
Campanha,Estado da campanha,Tipo de campanha,ID da campanha,Dia,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Resultados,Ligações telefônicas,CPM méd. visível,CTR visível,Visitas à loja (baseada em dados),Impr. visíveis,Parcela de cliques,Cliques orgânicos,Listagens orgânicas
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-09-03,60,1.046,"5,74%",BRL,"0,57","34,32","10,00",0,"3,43","16,67%","Contato: 5,00; Outro: 5,00; Engajamento: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-20,59,1.039,"5,68%",BRL,"0,44","26,22","9,00",0,"2,91","15,25%","Contato: 4,00; Outro: 5,00; Engajamento: 16,00; Ver rotas: 5,00; Visualização de página: 2,00; Visita à loja: 1,00",1,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-08-27,59,1.234,"4,78%",BRL,"0,60","35,35","7,99",0,"4,42","13,54%","Contato: 4,00; Outro: 3,99; Engajamento: 41,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-23,58,930,"6,24%",BRL,"0,60","35,00","27,69",0,"1,26","40,13%","Contato: 13,00; Outro: 14,69; Engajamento: 12,00; Ver rotas: 1,00; Visualização de página: 2,00; Visita à loja: 1,00",2,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-20,57,1.003,"5,68%",BRL,"0,37","20,94","6,00",0,"3,49","10,53%","Contato: 3,00; Outro: 3,00; Engajamento: 2,00; Ver rotas: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-24,57,1.238,"4,60%",BRL,"0,64","36,39","12,50",0,"2,91","21,93%","Contato: 6,00; Outro: 6,50; Engajamento: 44,00; Ver rotas: 4,00; Visualização de página: 1,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-05-11,57,1.084,"5,26%",BRL,"0,73","41,60","12,00",0,"3,47","21,05%","Contato: 7,00; Outro: 5,00; Engajamento: 36,00; Ver rotas: 2,00; Visualização de página: 6,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-06,56,982,"5,70%",BRL,"0,38","21,29","13,00",0,"1,64","23,21%","Contato: 6,00; Outro: 7,00; Engajamento: 8,00; Visualização de página: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-28,56,939,"5,96%",BRL,"0,44","24,62","7,00",0,"3,52","12,50%","Contato: 4,00; Outro: 2,00; Engajamento: 17,00; Ver rotas: 2,00; Visualização de página: 1,00; Lead telefônico: 1,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-01-31,55,911,"6,04%",BRL,"0,38","21,15","11,01",0,"1,92","20,03%","Contato: 9,00; Outro: 2,01; Engajamento: 39,00; Visualização de página: 3,00",1,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-02-07,54,695,"7,77%",BRL,"0,48","25,98","6,00",0,"4,33","11,11%","Contato: 4,00; Outro: 2,00; Engajamento: 23,00; Ver rotas: 1,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-04-20,54,1.246,"4,33%",BRL,"0,68","36,93","17,99",0,"2,05","33,32%","Contato: 10,00; Outro: 6,99; Engajamento: 25,00; Leads de mensagens: 1,00; Visualização de página: 7,00; Lead telefônico: 1,00",2,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-08-19,54,1.600,"3,38%",BRL,"0,67","35,99","12,99",0,"2,77","24,06%","Contato: 7,00; Outro: 5,99; Engajamento: 37,00; Ver rotas: 4,00; Visualização de página: 1,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-12,53,817,"6,49%",BRL,"0,58","30,88","21,02",0,"1,47","39,66%","Contato: 11,00; Outro: 10,02; Engajamento: 30,00; Ver rotas: 1,00; Leads de mensagens: 1,00; Visualização de página: 5,00; Visita à loja: 1,00",0,0,0,"1,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-03-30,53,876,"6,05%",BRL,"0,67","35,73","11,00",0,"3,25","20,75%","Contato: 6,00; Outro: 5,00; Engajamento: 24,00; Ver rotas: 3,00; Visualização de página: 2,00",0,0,0,"0,00",0,< 10%,0,0
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_SALÃO.BELEZA_SP.CAP_2025 v.01,Ativada,Performance Max,21116045403,2026-07-16,52,1.131,"4,60%",BRL,"0,96","49,80","19,00",0,"2,62","36,54%","Contato: 10,00; Outro: 9,00; Engajamento: 75,00; Visualização de página: 2,00",3,0,0,"0,00",0,< 10%,0,0
