Performance da campanha
1 de janeiro de 2026 - 25 de agosto de 2026
Campanha,Estado da campanha,Tipo de campanha,Código da moeda,Orçamento,Data/hora de início da campanha,Estratégia de lances da campanha,ID da campanha,Dia,Cliques,Impr.,CTR,CPC méd.,Custo,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Ligações telefônicas,Resultados,Todas as conv.,Conv. em disp. diferentes
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-25,11,247,"4,45%","0,25","2,71","0,00",0,0,"0,00%",0,"Engajamento: 16,00; Ver rotas: 4,00","20,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-08-10,11,170,"6,47%","0,24","2,61","0,00",0,0,"0,00%",0,"Engajamento: 14,00; Ver rotas: 1,00; Visualização de página: 7,00","22,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-04,10,330,"3,03%","1,20","11,99","2,00",0,"6,00","20,00%",0,"Engajamento: 21,00; Ver rotas: 2,00","23,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-01-27,10,229,"4,37%","0,32","3,20","0,00",0,0,"0,00%",0,"Engajamento: 53,00; Visualização de página: 1,00","54,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-20,10,206,"4,85%","0,42","4,17","1,00",0,"4,17","10,00%",1,"Contato: 1,00; Engajamento: 51,00","52,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-04-29,10,324,"3,09%","0,43","4,26","1,00",0,"4,26","10,00%",0,"Contato: 1,00; Engajamento: 28,00; Visualização de página: 2,00","31,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-05-02,10,382,"2,62%","0,78","7,80","2,00",0,"3,90","20,00%",2,"Contato: 2,00; Engajamento: 14,00; Ver rotas: 1,00","17,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-05-30,10,332,"3,01%","0,62","6,25","0,00",0,0,"0,00%",0,"Engajamento: 9,00; Ver rotas: 1,00; Visualização de página: 1,00","11,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-07-30,10,163,"6,13%","0,44","4,41","0,00",0,0,"0,00%",0,"Engajamento: 15,00; Ver rotas: 2,00","17,00","0,00"
[KIL] GG_VISITA NEGÓCIO LOCAL_PMAX_BARBEARIA_SP.CAPITAL,Ativada,Performance Max,BRL,"11,00",4 de abr. de 2024, --,21149189736,2026-02-03,9,237,"3,80%","1,46","13,12","0,00",0,0,"0,00%",1,"Engajamento: 1,00; Ver rotas: 3,00; Visita à loja: 1,00","5,00","0,00"
